label,category
DGG,#亚马逊云科技客户说#游戏企业出海，并非易事。如何应对出海可能出现的合规、安全等风险？如何做好全球业务部署，为游戏构建坚实可靠的技术架构？#亚马逊云科技#携手核心级服务合作伙伴伊克罗德，帮助手游出海发行商NEOCRAFT不断提升游戏平台的安全能力，优化玩家的游戏体验，让海外营收持续增长。
MDS,09-02 13:30，直播主题「2022世界人工智…
DGG,NEOCRAFT 手游出海，让游戏更好玩！
DGG,抢滩元宇宙：AI数字虚拟人破圈出道！
DBN,百尺竿头更进一步丨Amazon Aurora 的读写能力扩展之 ShardingSphere-Proxy 篇
GCI,AIoT 出海部署，雅观智能抢滩“躺赢”
AID,宅家也飙车？全国上万孩子线上嗨不停！
AIU,掌握机器学习，拿捏职场未来财富密码
ANL,官宣！Amazon Redshift Serverless 上线
ANL,"#亚马逊云科技客户说#覆盖会员规模近千万，导购员规模 4000 多人，营销系统支持能力直线提升数十倍……年产破亿件的苏泊尔如何通过布局会员中心等线上、线下业务渠道，构建更完善的线上营销体系，来玩转智能营销?一张长图带你了解苏泊尔基于亚马逊云平台构建的数字化营销体系。想要了解苏泊尔及更多营销数字化转型案例，赶快报名参加7月20日的“客以云来·数营先机” 营销数字化转型活动，抢先获取“客以云来”优惠礼包, 免费获取云服务抵扣券及来自8家营销科技公司的咨询和试用服务。"
AIU,推荐系统：第三讲：推荐系统中的召回阶段深入探讨
WEB3,🛣️通往元宇宙的路有几条？还是万物皆可元宇宙？无论是基于现实叠加的万物互联，还是沉浸式的独立虚拟空间，都离不开坚实的技术基础。本期亚马逊云科技直播栏目《上新了，亚麻云》直击业内最热话题Web3，数说云计算赋能发展出的新型业态，畅聊“云”上生活新蓝图。欲知精彩内容，点击视频观看！
GCI,[航母]全球数字化浪潮席卷，无论是出海、入华都绕不开数字化转型。而转型之路中有合规、安全等诸多“关隘”，企业如何快速通关，加速创新发展步伐？[飞机]亚马逊云科技8家全球咨询合作伙伴，分别将基于安全合规、全托管、数据分析、机器学习、现代应用开发、SAP 等技术构建的解决方案装进锦囊，助您加速业务创新“变现”！[拳头]快来查看8大锦囊，扫码get锦囊妙计！
GCI,就差你了！亚马逊云科技物联网产业创新峰会与你相聚蓉城
DBN,#亚马逊云科技新闻# Gartner公司近期发布了《Gartner Solution Scorecard 解决方案记分卡报告》，Amazon RDS在各项标准中崭露头角！阅读文章，一起发掘#亚马逊云科技#构建现代数据战略的秘诀。 °Amazon RDS 凭什么在 Gartner 报告中脱颖而出？ ​​​​
MDS,#亚马逊云科技笔记#“数据”作为新商业模式下最重要的生产资料，到底如何改变了我们工作生活的方方面面？一篇文章，从战略思维、流程设计、数据文化与思考习惯，技术实现路径与最佳案例等多个方面，带你深度挖掘全球名企的“数字驱动力”！[加油]
DGG,出海数字化新时代，企业如何乘风破浪加速创新？
MDS,哈评专访｜看亚马逊云科技助力华晨宝马优化汽车制造数字化战略
MDS,看亚马逊云科技助力华晨宝马优化汽车制造数字化战略 | 哈评专访
GCI,上新了 亚麻云 | IoT成就精致露营的美与自由
DBN,新发布 | 持久化 Redis 利器 Amazon MemoryDB 上线!
AIU,#亚马逊云科技创新大会#最后报名时刻！！！今天下午14:00，通往#亚马逊云科技#元宇宙的旅程准时开启！戳→O网页链接，马上报名，张侠博士&线性资本创始人CEO王淮先生已经在线等人啦！ ​​​​
DBN,百尺竿头更进一步丨拓展 Amazon Aurora的读写能力之Gaea篇
GCI,[单身狗]紧急离家，担心毛孩子？勿需#宠物驿站#，只需智能升级～[彩虹屁]#上新了，亚麻云#第四期将聚焦Z世代养宠需求，展示在云智能技术支持下，#高质量养宠#到底有多爽。[打call]更多精彩内容，敬请锁定O4月14日19:00#亚马逊云科技#直播间 ，现在就扫码预约吧~ ​​ ​​​​
GCI,🚀互联网热词#AIoT# 到底是什么？💡比尔盖茨在《未来之路》中提出IoT（物联网），2016年人机围棋大战带火了AI（人工智能）。当AI遇上IoT，人工智能物联网(AIoT）的世界被打开了。从智慧工业、智慧楼宇，到智能家居、智慧零售，越来越多的行业都在AIoT化。👉那么构建基于云服务的AIoT平台，需要哪些硬核技术？干货时间到！1、云原生的物联网服务：借助于云原生技术，如 Amazon IoT Core、Amazon IoT Device Defender、Amazon SageMaker、Amazon IoT SiteWise 等，打通从云模组、硬件产品、AIoT云平台底座、App整套服务链路，帮助企业客户开发和部署高性能、高安全性、高可靠性和高可扩展性的全球物联网平台。2、多样化的算力：基于Amazon EC2 的弹性计算能力、Amazon Lambda 提供的无服务器化计算能力以及采用了微服务架构，以及应用 Amazon Elastic Container Service (Amazon ECS) 提供的容器托管平台。3、构建定制硬件以提供超强算力：三代英特尔®至强®可扩展处理器，提供8-40个内核及广泛的频率、功能和功耗需求选择；平台新增PCIe-Gen4支持，增加内存带宽，每路处理器内存容量高达6TB，还增加了AVX-512指令。4、数据分析、人工智能与机器学习：借助Amazon EMR，能够以高效的方式实现对各类数据的分析处理，包括公司战略数据分析（如用户产品分析、设备数据分析、APP黏性分析）、业务专题分析（如市场趋势分析）、运营活动分析以及数据挖掘等。⭐以上就是亚马逊云科技助力中科创达布局AIoT领域的云技术秘籍。一个案例带你了解AIoT企业故事！
AID,小小少年如何改变世界？在人工智能领域一切皆有可能！速戳O网页链接报名#2022年亚马逊云科技中国峰会# 观看 #2022 Amazon DeepRacer# 全国青少年总评选，见证少年玩转自动驾驶算法模型，构建智能未来。 L亚马逊云科技的微博视频 ​​​​
AIU,当我们说起太空，你会想到什么？
AID,挑战一项吉尼斯世界纪录不酷吗？亲手训练一个自动驾驶算法模型不酷吗？如果你对《银翼杀手》中的世界充满好奇，哪怕是一个技术小白，也要来一探究竟！2022年7月起，#Amazon DeepRacer#中国联赛将挑战吉尼斯世界纪录™称号，每一位参赛选手都将成为独一无二的贡献者，共同达成“最大规模的机器学习竞赛”这一目标。千万不要错过这个和未来世界来一次亲密接触的机会！参与方式图中见。除了无人驾驶，你觉得未来还会有哪些”无人XX“，评论区留下你的看法吧~
AIU,软件开发商只用几分钟就完成代码审查，移动电信公司能在2小时内识别客户问题并进行修复……是什么引领企业在激烈的竞争中野蛮生长，让顶尖的开发者立于不败之地？来#亚马逊云科技创新大会#，一起盘盘AI的新工具！#亚马逊云科技#重磅发布#人工智能新引擎#，超多高能分享，等你来探索！报名请戳➡️ O网页链接
MDS, #亚马逊云科技新闻# 大数据分析与机器学习“双剑合璧”啦！#亚马逊云科技# 宣布推出“云、数、智三位一体”的大数据与机器学习融合服务组合，帮助企业推进大数据和机器学习的融合，将机器学习由实验转为规模化落地实践。观看下方视频，即刻为企业发展增添新动能吧！ 
GCI,智能物联 变革未来｜亚马逊云科技智能物联创新日来袭
DBN,💡沙利文发布中国数据管理系列报告之《2021年中国分布式数据库市场报告》年度报告，亚马逊云科技位于领导者象限，且创新指数第一！🚀云原生数据库有着怎样的“发家史”？亚马逊云科技云原生数据库又有着怎样的“杀手锏”？👉几张图片带你快速了解！图末还可以看完整报告哦~
AID,2022年4月，亚马逊云科技发起Amazon DeepRacer League游戏行业挑战赛，来自北区8家客户参与线下Amazon DeepRacer竞技。如今全球已有超过10万名开发人员通过亚马逊云科技平台搭建赛车模型来掌握强化学习的知识，并体验机器学习的乐趣。享受竞速比赛，感受机器学习新潮流，更多Amazon DeepRacer精彩赛事敬请期待！
ANN,云原生技术新版图——无服务器（Serverless）数据库
AIU,AI狂想｜来这场大会，一起盘盘 AI 的新工具！
DGG,亚马逊云科技中国峰会将在9月22日启幕，…
GCI,🏕想来一场说走就走的#露营#，回归人类最朴素的状态，与自然贴贴，也想同时拥有现代文明的方便舒适。8月9日19:00 #亚马逊云科技# 直播栏目 #上新了，亚麻云# 推出露营专题，带来“我都要”的大满足！看摩登出片的智能新品、聊被科技改变的酷乐智行👇 👇 👇现在就预约直播，开启精致露营的新世界吧！
DGG,⛵️#中国企业出海季# 第三弹！一款面向海外市场的游戏从立项开发到最终上线盈利，要经历哪些关键阶段，面临怎样的挑战：在游戏设计上，探索让海外市场用户耳目一新的颠覆性创新玩法；在市场方面，充分释放数据价值，快速洞察市场变化；在营销推广上，借助有效的海外营销策略，快速打开市场；在安全合规上，保证游戏的各项数据符合当地的合规要求，进一步降低安全风险。👉关于游戏出海的更多答案，锁定7月20-21日，亚马逊云科技将邀请游戏领域经验丰富的合作伙伴、多位行业大咖，一起深度探讨。从游戏本身开始，围绕开发引擎、数据分析、广告获客、行业洞察等方面全面剖析国内游戏出海的方方面面。💡评论区聊聊你最爱的一款游戏，或者向大咖们隔空提问吧~
AIU,"🧡 #OPPO小布助手# ，与你智趣相投🤝#亚马逊云科技# 向来与OPPO保持着密切的合作沟通，基于Amazon EC2 Inf1 实例的智能语音助手Alexa相关实践经验，希望帮助OPPO提升底层基础设施的能力🌳目前，OPPO已将其运行在本地基础设施的部分AI模型机器学习推理工作负载成功迁移至亚马逊云科技。OPPO小布助手使用的亚马逊云科技服务包括Amazon EC2、Amazon Inferentia、Amazon S3、Amazon CloudWatch✨💡相比之前本地GPU集群的计算资源配置，基于亚马逊云科技运行AI模型机器学习推理工作负载，OPPO小布助手整体推理成本节省高达35%左右,端到端延迟降低多达25%，为算法和业务创新注入强劲动力🌊 未来，亚马逊云科技也将持续帮助OPPO小布助手团队将更多 #机器学习# 训练和推理负载迁移，充分释放云平台的潜能，加速创新成果转化"
DGG,跨境电商黄金十年已过，如何布局下一个红利时代？
GCI,从“中国制造”到“中国智造”，有哪些可复制的出海经验必须知晓：1、如何借助 IoT 技术创新，打造智能物联的全球业务平台？2、如何优化架构以支撑百万级规模的设备并发，并且平稳运行？3、如何帮助企业通过数据发掘业务价值？4、如何提升海外业务安全性，并应对全球各地区的合规挑战？关于这些问题，#亚马逊云科技##中国企业出海季#第二周给你答案。锁定7月12日-13日，#亚马逊云科技#将与合作伙伴一起聚焦全球互联、安全可控、智能创新等话题，帮助智能制造企业实现业务上云，快速部署，出海创新，真正做到从“制”到“智”，助力中国品牌焕新升级。
AIU,从软件哲学角度谈 Amazon SageMaker（第二讲）
DBN,Amazon Aurora 故障恢复之降低 DNS 切换对应用影响篇
GCI,⚖️选择亚马逊云科技 构建“天匠物联网平台”💡广云物联所推出的“天匠物联网平台”套件是一款针对智能物联产品的解决方案✨选择了亚马逊云科技，并加入亚马逊云科技合作伙伴网络，是因为亚马逊云科技具有以下突出优势：广泛的云基础设施提供更好的全球用户触达能力轻松构建无服务器化的云上物联网平台☁️面向合作伙伴提供的资源支持助力业务快速发展🌊亚马逊云科技为所有出海企业提供可靠的云服务，打造在全球市场都具有竞争力的智能产品，解决企业的业务需求
DBM,企业数据库“云”迁移中…亚马逊云科技认证助你get满满竞争力
ANN,#亚马逊云科技新闻# 10年前，第一个完全托管、PB级云数据仓库Amazon Redshift在首届亚马逊云科技re：Invent大会上发布，此后成为亚马逊云科技增长最快的服务之一。10年后，#亚马逊云科技#推出Amazon Redshift流式注入功能，每秒数百兆的流数据将被直接接收到Amazon Redshift数据仓库集群并处理。它将帮助游戏运营人员实时分析来自游戏玩家的海量数据，轻松优化游戏体验；它将帮助数据工程师、大数据开发者将数据分析从“批量”转向“实时”。[烟花]时间赋予数据生命，也审视着数据的价值。用十年持续重塑实时数仓能力再升级，关于企业现代数据战略的秘密就在这里。点击文章，了解更多内容！
AIU,当谈起MARS，你会想到什么？ 大多数人会…
AID,新赛季！来和Amazon DeepRacer 来一场梦幻联动吧
DBM,🚀随着越来越多的企业迁移到云，扩展云数据库技能可以提高企业的运营效率和业务敏捷性，并加速创新。✅龙头企业Autodesk与亚马逊云科技合作，评估了成员的技能差距，提供培训资源，并为迁移工作提供支持。这使得 Autodesk 成功实现了现代化改造，即便管理的数据增长了 12 倍且计算容量同样也有增加，仍能节省高达 75% 的支持续订成本。📈 市场对具有丰富云知识并能够优化专用数据库的专家的需求正在增长。不管是你是多年的数据库管理员还是刚接触开发工作的小白，拥有一张高认可的认证徽章，可以抓住专用数据库带来的一切可能。👉一张图带你了解 Amazon Web Services Certified Database – Specialty 认证。有认证经验的小伙伴们评论区聊聊，将有机会获得精美小亚手办哦~
ANL,我的上云故事
WEB3,#亚马逊云科技客户说# 社交产品出海作为出海3.0时代中重要的一部分，在近两年尤为大火。随着全球化进程推进，不断催生出多样化的社交体验需求，如何保障全球范围内用户的沉浸式娱乐体验，如何令信息实现畅快、高效地交流和传递，成为限制社交出海产品的重要因素。网易智企，网易旗下一站式企业服务提供商，将亚马逊云科技的全球覆盖视为其良好选择，强强联合在云上打造新一代安全通信服务。阅读文章，了解网易智企在内容安全和融合通信方面所做出的突破。
DBN,“云中菌”来啦！当菌种自动化构建撞上云计算
DBN,#亚马逊云科技新闻# 🎉重磅发布！📇2022年2月11日，亚马逊云科技宣布通过与光环新网和西云数据的紧密合作，在中国区域（北京与宁夏）推出完全托管的、兼容 Redis 的内存数据库 Amazon MemoryDB for Redis。🚀Amazon MemoryDB for Redis 能够帮助您经济高效地构建起读取性能达微秒级别、写入性能维持在个位数毫秒，而且持久性与可用性极高的应用程序。🔻想了解更多并开始使用这项新发布，点击文章查看完整分享！
AID,云上好物商店|AmazonDeepRacer日志分析工具实战
DBN,这座云上光伏电站，带你敲开绿色零碳未来的大门！
ANL,Community Builders 报名窗口又双叒叕开启啦，谁看了不心动？！
DBN,Amazon MemoryDB for Redis 和 Amazon ElastiCache for Redis 的内存优化
DBN,Amazon DynamoDB 10年之约
DGG,⛵️ 游戏企业出海，并非易事。💡 如何应对出海可能出现的合规、安全等风险？💡 如何做好全球业务部署，为游戏构建坚实可靠的技术架构？💯 #亚马逊云科技# 携手核心级服务合作伙伴伊克罗德，帮助手游出海发行商NEOCRAFT不断提升游戏平台的安全能力，优化玩家的游戏体验，让海外营收持续增长。👇 戳下图了解亚马逊云科技如何为游戏企业出海强势赋能！
DBN,数据库的前景是什么❓ 2022年6月1日下午两点，云原生数据库在线大会10周年庆邀您了解更多真实案例，拥抱云上创新！👉2014年推出的首款云原生关系型数据库 Amazon Aurora 是亚马逊历史上用户数量增长速度最快的云服务。👉自2015年亚马逊云科技跻身于Gartner发布的数据库管理系统魔力象限之后，已经连续第7年被评为云数据库领导者。👉今年8月，亚马逊云科技已经通过与光环新网和西云数据的合作，在中国推出了 Amazon Neptune ML。......亚马逊科技数据库服务的“进阶”故事，也仍是“未完待续”。📱点击下图，扫描二维码报名，相约了解云原生数据库！
DBM,数据库开启究极进化模式
AID,🕖︎#上新了，亚麻云# 第六期5月19日19:00 将重磅推出全新专题 ，对#Amazon DeepRacer# 进行全面大解析！[送花花]分享#亚马逊云科技#酷炫前沿技术、听业内人士犀利热闻点评、探索云计算行业的未来发展方向[666]迫不及待想加入赛事，现在就扫码预约吧~ 今晚不见不散！ ​​
AIU,#亚马逊云科技创新大会#震撼来袭[拳头]#人工智能新引擎#到底“新”在哪里？新工具、新应用、新效率……让企业降本增效，让用户飞速增长，让业务行“云”流水！戳O网页链接，赶快报名#亚马逊云科技创新大会#，更多新引擎等你来探索！
WEB3,🐒听过虚拟歌姬的演唱会，拥有NTF的无聊猴子？颠覆互联网的 #Web3# 可不只有这点本事！☁ #上新了，亚麻云# 第九期诚邀嘉宾精彩开讲：除了畅玩元宇宙、体验像素级捏脸引擎，Web3还将如何全新定义网络生活！➡更多内容，敬请关注7月13日19:00 #亚马逊云科技# 直播间，赶快预约，解锁更多精彩！ ​​​
DGG,休闲游戏公司出海0到1——DMZ game studios 游戏上云故事
DBN,#亚马逊云科技新闻# Amazon DynamoDB 推出 10 周年啦! 这是一种快速、高度可靠且具有成本效益的 NoSQL 数据库服务~查看文章，和我们一起深入探讨它在非关系数据库和云服务技术领域的的起源、前身以及未来！
WEB3,期待已久的《阿凡达2》背后运用了怎样的技术？通往元宇宙的路径如何实现？快来感受#Web3#打开的世界！ 关注亚马逊云科技官方账号 ​​​
DBN,从“数据”到“大数据”，激发数据潜力，深耕智能应用！
GCI,万物互联时代，原来物联网还能这样玩儿？
MDS,上新了 亚麻云 | 乌卡时代来临，你做好准备了吗？
AID,Amazon DeepRacer ！点击获取你的吉尼斯世界纪录™称号
MDS,上新了 亚麻云｜开学季涨知识，看数据+智能还能怎么玩？
ANL,我的上云故事-这是我的架构
AIU,🕖︎ #亚马逊云科技创新大会# 最后报名时刻！！！今天下午14:00，通往#亚马逊云科技# 元宇宙的旅程准时开启！戳→链接，马上报名，张侠博士&线性资本创始人CEO王淮先生已经在线等人啦！💡 来看看他们在聊些什么：Q1：人工智能投资有泡沫吗？Q2：打破AI的泡沫，科技投资在哪些领域更能产生超额收益？Q3：找到了对应的领域，如何再跟相应的产业结合？Q4：重回技术层面，人工智能的未来发展有哪些瓶颈？Q5：要选择投资对象，如何选择？如何助力成功？🔔 想了解关于#人工智能新引擎# 的更多答案，记得抓紧报名哦~
AIU,数字工厂的“设备”能说话，智慧教育打破知识的物理围墙，精准医疗大大释放服务效能，智慧家居已经开启进化之路…人工智能，到底有多能？“人工智能新引擎”#亚马逊云科技创新大会# 给你答案，关于市场和企业的探索方向，都在这里！#亚马逊云科技# 与多位行业大咖共聚，邀你一起来看门道！快来报名参会，一探AI的究竟！
DBM,#亚马逊云科技#喊你来认领徽章了！不管是你是多年的数据库管理员还是刚接触开发工作的小白，拥有一张高认可的认证徽章，就可以抓住专用数据库带来的一切可能！纯纯的“认证护卫”！Builders们，评论区聊聊你的#认证故事#，关注@亚马逊云科技，我们将抽取5个幸运 builders 送出精美小亚手办哦~@微博抽奖平台 抽奖详情
ANS,#亚马逊云科技新闻#Log Hub解决方案全新上线啦！建库时间太久？日志量太多？Builders们，高端操作来了，Log Hub帮助你在二十分钟内搭建一套日志分析平台。该解决方案建立在 Amazon OpenSearch Service 之上，剧透一下它的特点：l All-in-One的日志摄取l 无代码日志处理器l 开箱即用的仪表板模板快来阅读下方文章，了解Log Hub支持的日志分析场景！ °Log Hub解决方案全新上线，为日志分析带来多...6月16日亚马逊云科技Game Tech Day正式开启[打call]每一款伟大的游戏都离不开优秀技术的加持。全球超过90%大型游戏公司都在使用亚马逊云科技的技术。想知道原因吗？2022亚马逊云科技游戏开发者大会为您揭晓答案。请戳：O网页链接 L亚马逊云科技的微博视频 ​​​​
AIS,现代音视频直播现在就需要TA
ANL,奇“Pa”知识
GCI,携手亚马逊云科技扬帆起航，大宇无限解密互联网企业出海经
DBN,中国分布式数据库“领导者”，创新指数第一！
DGG,火速集结！亚马逊云科技2022中国企业出海季7月盛启
DBN,Gartner公司近期发布《Gartner Solution …
GCI,#亚马逊云科技# 中国区商用市场事业部总经理李晓芒认为中国企业实现成功出海需要“全球化思考、本地化运营”。云作为实现此目标的一个重要手段，能够助力中国企业加强业务的安全合规，加快海外业务的数字化转型和创新。观看下方视频，揭开企业上云出海的神秘面纱吧！
AIU,【活动报名】挑战与机遇并存：AI 新时代应用——Data Everywhere成都站来啦！
AIU,云上好物商店｜Amazon Translate游戏行业的应用
AIU,Innovate活动预热
GCI,#亚马逊云科技客户说#你是不是也经常一出门就感觉自己忘记锁门、忘记关灯、忘记关空调？[允悲]智能物联网的出现就能解决你的烦恼！[憧憬]只要看一眼手机，就能确定家中一切安好，杭州雅观科技有限公司与亚马逊云科技携手为万物智能赋能并加速业务海外部署，点击文章，和你分享应对出海挑战和实现全球化业务的解决方案！
AID,2022 Amazon DeepRacer 自动驾驶联赛正式启动啦！
AIS,如何通过 Amazon Textract 改善新冠疫情期间的PPP贷款效率
GCI,中国企业出海，上云已不再陌生。怎么上云？上哪朵云？上云的同时如何保证安全合规？#亚马逊云科技# 中国区数字原生事业部总经理梁岩携多位业内大咖齐聚一堂，探讨上云如何助力中国企业拓展全球业务，在海外市场起航远行！观看视频，和我们共同探索企业出海之道吧！
AIU,当我们说起太空，你会想到什么？
MDS,数据正重塑着不同行业及其业务架构，其展现出的非凡潜力逐渐被企业重视。但以数字技术赋能企业转型绝非易事。您所在的企业是否正面临着数据难题？别担心，引领企业云转型之路，#亚马逊云科技#一直在探索。查看图片，你想知道的数据难题这里都有答案[奋斗][奋斗]马上戳O网页链接或扫二维码报名，构建数据驱动型企业的干货#2022年亚马逊云科技中国峰会#都有，2022年9月22日我们不见不散！
GCI,上新了 亚麻云 | “云上”千里眼，变身海外爆款的养成秘诀
DBN,"如何跟「关系数据库」搞好""关系"""
AIU,大数据时代，芯片创新能否满足人工智能的更高算力？
DBN,亚马逊云科技联合融聚汇打造云原生一站式金融信息数据平台
GCI,AI（人工智能）+IoT（物联网），会碰撞出怎样的商业火花？中科创达携手亚马逊云科技，通过构建基于云服务的AIoT平台，为智能行业的出海之旅扬起风帆。一站式的开发、部署、运维等服务，帮助智能家居、智能电动工具、智慧工业、智慧楼宇、智慧零售等行业，在全球市场上攫取更大的价值。一篇文章，带你了解AIoT企业的出海秘籍。[好喜欢] 
DBM,Amazon Aurora Serverless v2上线！下一代云原生无服务器关系型数据库
DGG,亚马逊云科技发布中国企业上云出海趋势
